hash,prediction
8caa31bd5896b461afec93562ebc61f6e73fcade790237d3ea428f8b170cdfe9,Legal
e3fd21a8ab3b08b49b2bcbd8513ee46fc401c203cf55f00a4e3720d0083cb4f4,Legal
e5867d9dd7de17b56461ea0b59dd34801b433f20d958dc246b5f1b85400d6aa0,Legal
1b6c24edc2aa075bf1297f57ec6726a377f133355609e995fbec0a1966c8633f,Legal
2573a4497fafdfeb407bae2e2d3053782b6e5d3ef3cd3ce44472c3964935bb33,Legal
16eb51f39ed38cbbb5a80da1830d03aeb84986d23a9b4f84942e0cbdd959c9ef,Legal
9cdc261ee73f6edf044194e6ca7317ececbb3b4d7d0033d8957184b168763d85,Legal
203e6f44cae9d862ec917ad6f37e35f0b28cbe78269924bc4de6888f0fdbf247,Legal
4cbb798f1acde5960bd242da8b7aac6927837f7abf9021f95cbb24d3f10a19de,Legal
f2860621a94743d14df737002e9aff252c179c3a4e4f1b6e8f600b7f3332bb72,Legal
ec192477cfdd3b51bd375d528e1b8423b07fc9bc36502cbd1ac1361a3bb038e4,Legal
5960317646c60646311175e742fe14d646f8b4a6ec4da78b052543061a6b09bb,Legal
de27913d502efe26b50849e57a0dc2b710437d3550e861570ee0e1223deff6d3,Legal
3c26b19496560b2d51f598368443a4e194d60a6a07dff0f5763979236406a3c6,Legal
4612f5e960bf770528210833beb8693699cd53323da72fb38d62b6e766c44b44,Legal
d3143a7528fece3e0a3a09ddc97b693239dbb0e417991c00dfcce60dbaf09073,Legal
f18306f66a191b14d4cf5e8f16c46c47ef0b31ba61f954d075960db81f08fa90,Legal
4de9b311befe5c459bd4d8758493b5ad45d51dbda332bea7878e49621851704f,Legal
be7a6ed0bff618a84461a61d1a677ea00bffb973c5cb293ad95e4fae12ba7146,Legal
dd4de912206b2046031e1a2f127836a5ffdd4fbef289a231ae15aed809e60de6,Legal
be3a91b718e8943e18258b1bc2ff12a592db3fce0dfa0285768f1c16bd7c4012,Legal
f482d5d82fd654abbc1b234b901ea5022797d403b0fd26f2f9b3e549ef11d240,Legal
